timestamp,device_id,temperature_c,humidity_pct,vibration_g,pressure_psi,machine_status,power_watts
2024-06-01 00:00:00,DEV-012,39.47,72,0.404,33.44,Normal,270.2
2024-06-01 00:01:29,DEV-004,89.68,45,2.36,28.76,Critical,468.1
2024-06-01 00:03:22,DEV-020,70.4,40,2.462,26.47,Critical,432.4
2024-06-01 00:04:23,DEV-016,37.79,52,0.349,27.81,Normal,193.5
2024-06-01 00:05:24,DEV-007,52.73,70,0.897,30.07,Normal,332.8
2024-06-01 00:05:41,DEV-003,65.13,37,0.508,33.24,Normal,293.6
2024-06-01 00:07:03,DEV-008,44.48,78,0.672,32.6,Normal,183.8
2024-06-01 00:08:59,DEV-001,86.33,50,2.736,34.33,Warning,331.7
2024-06-01 00:09:30,DEV-013,91.96,62,2.915,29.45,Critical,438.0
2024-06-01 00:10:17,DEV-016,36.3,65,0.673,33.25,Normal,317.6
2024-06-01 00:10:55,DEV-009,67.99,25,0.769,30.87,Normal,191.9
2024-06-01 00:11:43,DEV-009,44.18,70,0.414,29.76,Normal,247.8
2024-06-01 00:12:24,DEV-014,54.49,51,1.364,30.56,Critical,410.5
2024-06-01 00:12:51,DEV-007,73.98,79,2.103,31.34,Warning,491.1
2024-06-01 00:14:24,DEV-006,49.76,21,0.321,36.83,Normal,335.4
2024-06-01 00:15:55,DEV-013,42.2,76,1.195,30.1,Normal,192.2
2024-06-01 00:17:46,DEV-016,79.89,71,2.582,30.38,Warning,399.5
2024-06-01 00:18:15,DEV-008,40.18,67,0.413,33.36,Normal,199.8
2024-06-01 00:20:09,DEV-016,23.74,85,0.224,29.62,Normal,283.3
2024-06-01 00:21:35,DEV-010,44.75,66,0.126,34.67,Normal,229.1
2024-06-01 00:23:30,DEV-014,67.69,74,1.997,27.36,Critical,309.1
2024-06-01 00:24:58,DEV-016,75.85,48,1.758,30.24,Critical,394.7
2024-06-01 00:26:58,DEV-009,44.75,51,1.231,30.3,Normal,269.9
2024-06-01 00:28:14,DEV-016,65.0,35,2.186,31.67,Critical,366.8
2024-06-01 00:29:45,DEV-019,79.83,45,2.487,35.49,Warning,405.0
2024-06-01 00:30:34,DEV-002,46.01,20,0.575,29.64,Normal,260.3
2024-06-01 00:31:11,DEV-014,34.57,36,0.87,30.07,Normal,170.5
2024-06-01 00:31:38,DEV-013,87.58,80,1.832,25.69,Critical,322.3
2024-06-01 00:33:02,DEV-005,83.31,56,2.254,30.59,Critical,352.1
2024-06-01 00:34:25,DEV-012,72.29,31,1.348,26.73,Warning,380.0
2024-06-01 00:35:35,DEV-007,52.71,57,1.508,30.06,Normal,231.9
2024-06-01 00:36:11,DEV-014,37.15,53,0.077,28.25,Normal,287.1
2024-06-01 00:37:15,DEV-017,37.8,44,0.817,34.45,Normal,248.9
2024-06-01 00:37:51,DEV-019,62.61,64,2.385,35.06,Critical,440.1
2024-06-01 00:39:10,DEV-019,36.59,23,0.271,32.68,Normal,278.0
2024-06-01 00:40:57,DEV-008,55.78,59,0.148,31.21,Normal,233.9
2024-06-01 00:42:27,DEV-006,61.96,48,2.607,34.9,Warning,375.2
2024-06-01 00:43:46,DEV-015,46.16,83,1.136,29.28,Normal,240.3
2024-06-01 00:44:46,DEV-004,60.29,21,0.447,26.83,Normal,236.6
2024-06-01 00:45:59,DEV-002,58.34,66,0.509,31.05,Normal,268.7
2024-06-01 00:46:30,DEV-016,64.82,21,2.581,25.63,Critical,344.4
2024-06-01 00:48:25,DEV-002,52.57,42,0.674,31.18,Normal,218.3
2024-06-01 00:48:40,DEV-018,32.77,77,0.95,30.92,Normal,152.5
2024-06-01 00:49:37,DEV-019,40.13,48,1.228,30.13,Normal,266.8
